episode_id,i,timestamp,raw_action,eff_action,allow_long,allow_short,position_before,position_after,position_change,price_now,price_next,fee,pnl_step,reward,equity,cross_state,mfi,atvmf_z
0,60,2024-10-02 03:30:00+00:00,0,0,False,False,0,0,0,2485.13,2492.93,0.0,0.0,-1.0003109451872661e-14,10000.0,1.0,73.716607114551,-0.711535734491602
0,61,2024-10-02 03:45:00+00:00,0,0,False,False,0,0,0,2492.93,2489.28,0.0,-0.0,-1.0003109451872661e-14,10000.0,1.0,72.31823834300098,-0.7481877644533553
0,62,2024-10-02 04:00:00+00:00,0,0,False,False,0,0,0,2489.28,2482.07,0.0,-0.0,-1.0003109451872661e-14,10000.0,1.0,74.80723609886249,-0.7656326969823137
0,63,2024-10-02 04:15:00+00:00,0,0,False,False,0,0,0,2482.07,2483.07,0.0,0.0,-1.0003109451872661e-14,10000.0,1.0,67.59793390338015,-0.7672475322263229
0,64,2024-10-02 04:30:00+00:00,0,0,False,False,0,0,0,2483.07,2483.6,0.0,0.0,-1.0003109451872661e-14,10000.0,1.0,68.29769596743371,-0.7700381844771178
0,65,2024-10-02 04:45:00+00:00,0,0,False,False,0,0,0,2483.6,2488.47,0.0,0.0,-1.0003109451872661e-14,10000.0,1.0,67.52931859696572,-0.774779876522232
0,66,2024-10-02 05:00:00+00:00,0,0,False,False,0,0,0,2488.47,2487.03,0.0,-0.0,-1.0003109451872661e-14,10000.0,1.0,65.12871052100456,-0.773164199259801
0,67,2024-10-02 05:15:00+00:00,0,0,False,False,0,0,0,2487.03,2483.45,0.0,-0.0,-1.0003109451872661e-14,10000.0,1.0,63.79529299199514,-0.7996858462082821
0,68,2024-10-02 05:30:00+00:00,0,0,False,False,0,0,0,2483.45,2479.14,0.0,-0.0,-1.0003109451872661e-14,10000.0,1.0,56.45742762563768,-0.8058642942268798
0,69,2024-10-02 05:45:00+00:00,0,0,False,False,0,0,0,2479.14,2479.41,0.0,0.0,-1.0003109451872661e-14,10000.0,1.0,50.76263736745401,-0.8188601228846366
0,70,2024-10-02 06:00:00+00:00,0,0,False,False,0,0,0,2479.41,2475.32,0.0,-0.0,-1.0003109451872661e-14,10000.0,1.0,42.610870618965706,-0.8289507710204992
0,71,2024-10-02 06:15:00+00:00,0,0,False,False,0,0,0,2475.32,2479.42,0.0,0.0,-1.0003109451872661e-14,10000.0,1.0,34.091575744529024,-0.818784601118356
0,72,2024-10-02 06:30:00+00:00,0,0,False,False,0,0,0,2479.42,2488.55,0.0,0.0,-1.0003109451872661e-14,10000.0,1.0,28.382679088236745,-0.8466110555572164
